participant_id,agreeable,allowance_level,extraversion,group_experiment,honesty_humility,neuroticism,openness,religious_affiliation,religious_service,study_program,twt_sospeso
953,3.65,2.0,2.0,HighSub,3.6875,3.5,3.7,0,2,CLEAM,4.0
954,3.76666666666667,2.0,4.2,MidSub,3.75,2.7,3.9,1,3,CLEAM,0.0
955,3.55,2.0,3.2,MidSub,4.3125,2.5,4.3,0,0,BIG,2.0
956,3.7,1.0,4.5,NoSub,3.75,3.2,4.0,0,2,CLEAM,0.0
957,3.71666666666667,1.0,4.2,MidSub,3.5,3.5,4.2,1,3,CLEAM,0.0
958,4.01666666666667,1.0,3.3,NoSub,3.75,2.7,3.7,0,2,CLMG,0.0
959,3.83333333333333,3.0,3.7,MidSub,3.6875,1.8,3.9,0,4,CLEF,0.0
960,4.03333333333333,3.0,3.0,HighSub,3.4375,3.1,3.7,1,4,CLEAM,0.0
961,3.58333333333333,1.0,4.2,MidSub,3.625,2.1,4.3,0,2,CLEF,0.0
962,3.41666666666667,2.0,4.2,MidSub,3.375,3.1,4.1,0,1,BIEM,2.0
963,3.41666666666667,2.0,2.4,HighSub,3.4375,1.7,2.8,0,0,BIEF,0.0
964,3.41666666666667,1.0,3.9,MidSub,3.5625,3.0,4.3,0,0,CLEACC,0.0
965,3.16666666666667,3.0,3.9,MidSub,2.875,2.4,3.5,0,0,BIEF,8.0
966,3.75,4.0,3.9,NoSub,3.4375,1.9,4.2,0,1,DES-ESS,70.0
968,2.58333333333333,3.0,2.6,HighSub,2.6875,2.1,2.1,0,0,BEMACS,0.0
969,3.63333333333333,5.0,4.9,MidSub,3.375,2.3,3.6,0,0,BIEF,0.0
971,3.4,5.0,4.1,HighSub,2.8125,2.2,4.7,0,1,CLEACC,0.0
973,4.23333333333333,5.0,3.1,MidSub,4.25,1.8,3.9,0,0,CLEAM,36.0
975,3.43333333333333,2.0,4.1,NoSub,3.25,3.0,3.9,0,0,BIEM,0.0
976,3.41666666666667,3.0,4.2,NoSub,2.875,2.7,3.6,1,4,CLEAM,0.0
977,3.86666666666667,5.0,3.2,HighSub,4.125,2.9,4.5,0,3,CLEACC,0.0
979,3.05,4.0,3.9,HighSub,3.25,2.5,4.8,0,0,BIEF,11.0
980,2.53333333333333,2.0,3.3,MidSub,2.875,3.5,4.3,0,1,BESS-CLES,0.0
981,3.36666666666667,2.0,4.1,HighSub,2.8125,3.1,3.3,1,3,BESS-CLES,2.0
982,3.68333333333333,4.0,3.3,MidSub,3.9375,2.4,4.0,0,2,BIEF,4.0
985,3.28333333333333,5.0,3.1,NoSub,3.3125,2.5,4.2,0,4,BIG,1.0
986,3.65,3.0,4.2,NoSub,3.3125,2.4,4.2,0,1,CLEF,0.0
987,3.33333333333333,3.0,3.7,HighSub,3.25,2.6,3.4,1,4,CLEF,0.0
988,2.45,3.0,4.6,HighSub,2.625,3.0,4.8,0,0,BIG,0.0
989,3.13333333333333,5.0,3.6,NoSub,2.375,3.1,2.8,1,1,CLEAM,5.0
990,3.3,3.0,4.0,HighSub,2.5625,2.6,4.8,0,0,BEMACS,15.0
991,3.43333333333333,4.0,4.1,MidSub,3.3125,2.5,4.3,0,0,BEMACS,0.0
992,4.06666666666667,3.0,3.0,MidSub,3.8125,2.0,3.8,0,0,CLEAM,1.0
994,3.88333333333333,5.0,3.5,HighSub,4.1875,2.4,3.6,1,1,CLEF,0.0
997,3.48333333333333,2.0,4.0,NoSub,3.0625,4.1,3.9,0,1,BIEF,0.0
998,3.75,4.0,4.1,MidSub,3.0,2.5,4.3,0,1,MM,4.0
1001,3.68333333333333,5.0,4.8,HighSub,3.5625,1.8,4.7,0,1,BESS-CLES,0.0
1002,3.78333333333333,2.0,3.1,MidSub,3.25,2.7,3.8,0,1,CLEF,0.0
1003,2.98333333333333,5.0,3.9,NoSub,2.5,3.1,3.9,1,3,BIEF,0.0
1004,3.81666666666667,1.0,3.1,HighSub,3.875,3.0,4.4,0,0,FIN,12.0
1005,3.7,1.0,4.4,MidSub,3.1875,3.4,4.7,0,0,FIN,0.0
1006,3.66666666666667,1.0,3.0,HighSub,3.5,4.4,4.1,0,2,BIG,0.0
1007,3.65,1.0,3.5,NoSub,3.6875,3.0,3.6,0,0,IM,1.0
1008,3.46666666666667,4.0,3.0,HighSub,3.1875,3.5,4.2,1,4,PPA,5.0
1009,3.31666666666667,5.0,4.4,MidSub,2.3125,2.7,4.1,0,2,BEMACS,10.0
1010,3.56666666666667,4.0,3.3,NoSub,3.625,3.2,4.1,0,1,BIG,4.0
1011,3.3,5.0,4.2,HighSub,2.875,2.8,4.7,0,2,CLMG,0.0
1012,3.31666666666667,5.0,3.6,HighSub,3.75,2.9,4.0,0,1,BIG,4.0
1014,3.4,4.0,2.7,HighSub,3.0625,3.0,2.7,0,2,CLEF,0.0
1016,4.05,5.0,2.3,MidSub,3.875,3.8,3.9,0,1,CLEACC,16.0
1018,3.41666666666667,5.0,3.8,HighSub,3.3125,1.8,4.3,0,2,BIEM,4.0
1019,3.98333333333333,3.0,3.8,NoSub,3.875,1.8,3.7,1,4,BIEM,0.0
1021,3.4,5.0,4.6,NoSub,2.5,4.6,4.7,1,2,BIG,6.0
1022,3.11666666666667,5.0,2.7,MidSub,3.0,1.3,4.1,0,0,BESS-CLES,0.0
1023,4.16666666666667,4.0,3.0,NoSub,3.6875,3.4,4.0,0,2,BIEF,0.0
1024,3.16666666666667,2.0,4.3,HighSub,2.1875,3.6,4.4,0,1,MM,4.0
1025,3.86666666666667,4.0,3.6,HighSub,3.5625,3.0,4.3,0,0,BIG,4.0
1026,2.78333333333333,2.0,3.9,HighSub,2.1875,3.2,4.2,0,0,BIEM,0.0
1027,3.96666666666667,1.0,3.6,MidSub,3.1875,2.6,4.4,0,0,BIEM,0.0
1030,3.25,4.0,3.9,HighSub,3.375,2.8,4.5,0,1,CLEACC,0.0
1033,3.28333333333333,1.0,3.7,HighSub,2.9375,2.7,3.5,0,0,BIEM,3.0
1034,2.81666666666667,5.0,4.9,MidSub,2.8125,2.8,5.0,0,2,BIEF,1.0
1036,4.3,4.0,3.5,MidSub,4.3125,2.6,4.5,0,0,DES-ESS,8.0
1037,2.86666666666667,2.0,4.4,HighSub,2.5625,2.4,4.0,0,0,CLEF,0.0
1038,3.31666666666667,2.0,2.7,MidSub,3.375,3.4,3.3,0,2,CLEAM,4.0
1040,3.86666666666667,1.0,3.0,MidSub,3.25,2.8,4.7,0,1,CLEAM,5.0
1041,3.61666666666667,5.0,4.1,NoSub,4.1875,2.0,4.0,0,2,IM,14.0
1043,3.33333333333333,4.0,4.8,NoSub,3.0,2.0,4.7,0,1,BESS-CLES,0.0
1045,3.4,3.0,2.2,HighSub,4.0,3.8,3.7,0,2,BIEM,0.0
1046,3.18333333333333,2.0,3.7,NoSub,3.375,4.3,3.8,0,1,BEMACS,0.0
1047,3.8,1.0,4.9,MidSub,3.5625,2.0,4.5,0,0,BIEF,0.0
1048,4.03333333333333,1.0,3.1,HighSub,3.9375,2.2,3.6,1,4,CLEAM,10.0
1049,3.88333333333333,1.0,3.6,HighSub,3.5,2.4,4.0,0,1,CLEAM,0.0
1050,3.83333333333333,1.0,3.8,NoSub,3.25,3.2,4.6,0,0,PPA,0.0
1051,3.21666666666667,2.0,2.6,HighSub,2.625,3.5,3.6,0,1,MM,0.0
1052,3.41666666666667,2.0,4.1,MidSub,3.4375,2.0,4.9,0,2,DES-ESS,4.0
1053,3.85,5.0,3.1,NoSub,4.0,2.2,3.6,0,1,PPA,39.0
1054,3.1,4.0,3.8,NoSub,3.1875,3.0,4.0,0,2,MM,0.0
1055,2.86666666666667,3.0,3.1,MidSub,2.125,1.8,3.5,0,0,MM,0.0
1056,3.53333333333333,1.0,3.2,NoSub,3.25,2.5,3.9,0,1,IM,0.0
1057,3.78333333333333,4.0,3.3,MidSub,3.5625,2.9,3.6,0,2,M,4.0
1058,3.46666666666667,3.0,2.4,NoSub,2.9375,2.4,4.0,0,1,DES-ESS,0.0
1059,3.45,5.0,2.5,HighSub,3.875,3.2,3.1,0,0,ACME,4.0
1060,3.25,3.0,4.5,NoSub,2.6875,3.4,4.8,1,1,M,0.0
1061,3.55,2.0,3.5,NoSub,3.875,2.3,4.8,0,1,BEMACS,0.0
1062,4.03333333333333,2.0,4.8,NoSub,2.9375,3.9,4.6,0,0,BIEF,0.0
1063,3.65,5.0,3.9,NoSub,3.125,2.0,4.1,1,4,ACME,0.0
1064,3.63333333333333,3.0,3.5,MidSub,3.25,2.3,3.6,0,0,CLEAM,0.0
1065,3.76666666666667,2.0,2.7,NoSub,3.0625,2.3,4.3,0,1,CLEACC,2.0
1067,4.0,5.0,3.3,NoSub,4.125,2.2,3.6,0,0,RI,0.0
1068,3.65,5.0,2.7,MidSub,2.5,2.6,3.8,0,4,MM,0.0
1069,3.55,2.0,4.0,NoSub,3.4375,1.9,4.1,0,2,MM,0.0
1073,3.6,2.0,3.1,NoSub,2.875,1.8,3.1,0,0,PPA,0.0
